# Assembler.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 291

# CSubfileAssemblerECI class (21 methods)
FUN_1002c959|CSubfileAssemblerECI_CompareJulianDateValues
FUN_1002caf2|CSubfileAssemblerECI_ConvertToBigEndian
FUN_1002cbf6|CSubfileAssemblerECI_ConvertToJulian
FUN_1002cdff|CSubfileAssemblerECI_CreateBlocks
FUN_1002d22f|CSubfileAssemblerECI_CreateIndexTable
FUN_1002d498|CSubfileAssemblerECI_CreateInstanceOfCalBinImageComponent
FUN_1002d6b4|CSubfileAssemblerECI_FillHolesInBlock
FUN_1002d8af|CSubfileAssemblerECI_ProcessHeaders
FUN_1002dc95|CSubfileAssemblerECI_ReadDataFromSubfiles
FUN_1002dfab|CSubfileAssemblerECI_ReadTableCommandRecords
FUN_1002e269|CSubfileAssemblerECI_SetDataPlate
FUN_1002e47f|CSubfileAssemblerECI_SetHexBinaryValueInDataPlate
FUN_1002e758|CSubfileAssemblerECI_SetStringValueInDataPlate
FUN_1002ead6|CSubfileAssemblerECI_ValidateCompatibilityDates
FUN_1002efdc|CSubfileAssemblerECI_ValidateHeaderFile
FUN_1002f174|CSubfileAssemblerECI_ValidateHeaderRecords
FUN_1002f2c0|CSubfileAssemblerECI_ValidateInput
FUN_1002f40d|CSubfileAssemblerECI_ValidateSubfiles
FUN_1002f5a7|CSubfileAssemblerECI_VerifyBlock
FUN_1002f6ee|CSubfileAssemblerECI_VerifyBlocks
FUN_1002f855|CSubfileAssemblerECI_WriteAssemblyOutput

# CSubfileAssemblerGTIS2 class (20 methods)
FUN_10030361|CSubfileAssemblerGTIS2_CompareJulianDateValues
FUN_100304fa|CSubfileAssemblerGTIS2_ConvertToBigEndian
FUN_100305fe|CSubfileAssemblerGTIS2_ConvertToJulian
FUN_10030807|CSubfileAssemblerGTIS2_CreateBlocks
FUN_10030e6f|CSubfileAssemblerGTIS2_CreateIndexTable
FUN_10031171|CSubfileAssemblerGTIS2_CreateInstanceOfCalBinImageComponent
FUN_1003138d|CSubfileAssemblerGTIS2_FillHolesInBlock
FUN_100314e4|CSubfileAssemblerGTIS2_ProcessHeaders
FUN_100319b7|CSubfileAssemblerGTIS2_SetDataPlate
FUN_10031bc9|CSubfileAssemblerGTIS2_SetHexBinaryValueInDataPlate
FUN_10031ea2|CSubfileAssemblerGTIS2_SetStringValueInDataPlate
FUN_100321ca|CSubfileAssemblerGTIS2_ValidateCompatibilityDates
FUN_100326d0|CSubfileAssemblerGTIS2_ValidateHeaderFile
FUN_10032868|CSubfileAssemblerGTIS2_ValidateHeaderRecords
FUN_100329b4|CSubfileAssemblerGTIS2_ValidateInput
FUN_10032afb|CSubfileAssemblerGTIS2_ValidateSubfiles
FUN_10032c95|CSubfileAssemblerGTIS2_VerifyBlock
FUN_10032ddc|CSubfileAssemblerGTIS2_VerifyBlocks
FUN_10032f43|CSubfileAssemblerGTIS2_WriteAssemblyOutput
FUN_100333ae|CSubfileAssemblerGTIS2_WriteHeaderRecords

