address,ref_count,range,tier,batch_id
0x0040b536,6,0040xxxx,clean,47
0x0040b59a,6,0040xxxx,clean,52
0x0040b8d4,6,0040xxxx,clean,60
0x0040b8d6,6,0040xxxx,clean,61
0x0040b8e2,6,0040xxxx,clean,61
0x0040b8ec,6,0040xxxx,clean,62
0x0040b952,6,0040xxxx,clean,63
0x0040b992,6,0040xxxx,clean,64
0x0040b99a,6,0040xxxx,clean,64
0x0040b962,6,0040xxxx,clean,65
0x0040b96e,6,0040xxxx,clean,65
0x0040b970,6,0040xxxx,clean,65
0x0040b99e,6,0040xxxx,clean,66
0x0040b9a0,6,0040xxxx,clean,66
0x0040ba68,6,0040xxxx,clean,73
0x0040c284,6,0040xxxx,clean,75
0x003fb612,6,003fxxxx,in_window,8
0x003fedbc,6,003fxxxx,clean,10
0x003fbc94,6,003fxxxx,in_window,12
0x003fbc9c,6,003fxxxx,in_window,13
0x003fbcae,6,003fxxxx,in_window,14
0x003fddc4,6,003fxxxx,clean,14
0x003fbd2a,6,003fxxxx,in_window,16
0x003fbdc4,6,003fxxxx,in_window,25
0x003fbdc9,6,003fxxxx,in_window,25
0x003fbdd7,6,003fxxxx,in_window,25
0x003fbdf1,6,003fxxxx,in_window,25
0x003fcbfe,6,003fxxxx,in_window,30
0x003fccf0,6,003fxxxx,in_window,31
0x003fcd62,6,003fxxxx,in_window,33
0x003fcdae,6,003fxxxx,in_window,37
0x003fcdc6,6,003fxxxx,in_window,40
0x003fcdce,6,003fxxxx,in_window,42
0x003fcdda,6,003fxxxx,in_window,43
0x003fce1c,6,003fxxxx,in_window,44
0x003fcdfa,6,003fxxxx,in_window,45
0x003fcdff,6,003fxxxx,in_window,45
0x003fce02,6,003fxxxx,in_window,45
0x003fce06,6,003fxxxx,in_window,45
0x003fce41,6,003fxxxx,in_window,49
0x003fce45,6,003fxxxx,in_window,49
0x003fce4d,6,003fxxxx,in_window,49
0x003fcea2,6,003fxxxx,in_window,52
0x003fcee8,6,003fxxxx,in_window,55
0x003fcf4c,6,003fxxxx,in_window,60
0x003fcf4e,6,003fxxxx,in_window,60
0x003fcf76,6,003fxxxx,in_window,61
0x003fcf78,6,003fxxxx,in_window,61
0x003fcf9e,6,003fxxxx,in_window,63
0x003fcfa6,6,003fxxxx,in_window,64
0x003fcfe0,6,003fxxxx,in_window,67
0x003fd004,6,003fxxxx,in_window,70
0x003fd04c,6,003fxxxx,in_window,70
0x003fd04f,6,003fxxxx,in_window,70
0x003fee7e,6,003fxxxx,clean,71
0x003fee80,6,003fxxxx,clean,71
0x003fd089,6,003fxxxx,in_window,72
0x003fd172,6,003fxxxx,in_window,80
0x003fd178,6,003fxxxx,in_window,80
0x003fd179,6,003fxxxx,in_window,80
0x003fd17b,6,003fxxxx,in_window,80
0x003fd17d,6,003fxxxx,in_window,80
0x003fd194,6,003fxxxx,in_window,82
0x003fd19a,6,003fxxxx,in_window,82
0x003fd19e,6,003fxxxx,in_window,82
0x003fe9ca,6,003fxxxx,clean,82
0x003fd1b3,6,003fxxxx,in_window,84
0x003fd1d6,6,003fxxxx,in_window,86
0x003fd1de,6,003fxxxx,in_window,87
0x003fd1ec,6,003fxxxx,in_window,89
0x003fd1fe,6,003fxxxx,in_window,90
0x003fd208,6,003fxxxx,in_window,90
0x003fd232,6,003fxxxx,in_window,92
0x003fd262,6,003fxxxx,in_window,93
0x003fd27a,6,003fxxxx,in_window,97
0x003fd2d4,6,003fxxxx,in_window,99
0x003fd40e,6,003fxxxx,in_window,99
0x003fd40f,6,003fxxxx,in_window,99
0x003fee2e,6,003fxxxx,clean,108
0x0040655c,5,0040xxxx,clean,0
0x0040a5c6,5,0040xxxx,clean,0
0x0040b0a8,5,0040xxxx,clean,1
0x0040b1e8,5,0040xxxx,clean,1
0x0040b23c,5,0040xxxx,clean,1
0x0040b23e,5,0040xxxx,clean,1
0x00408862,5,0040xxxx,clean,2
0x0040b292,5,0040xxxx,clean,2
0x004088d9,5,0040xxxx,clean,3
0x0040b2f8,5,0040xxxx,clean,3
0x0040b9aa,5,0040xxxx,clean,3
0x0040b696,5,0040xxxx,clean,4
0x0040b69e,5,0040xxxx,clean,4
0x0040b6b6,5,0040xxxx,clean,4
0x004090f3,5,0040xxxx,clean,6
0x0040b856,5,0040xxxx,clean,6
0x00409f96,5,0040xxxx,clean,8
0x00409fe2,5,0040xxxx,clean,9
0x0040a034,5,0040xxxx,clean,11
0x0040a11c,5,0040xxxx,clean,12
0x0040a44e,5,0040xxxx,clean,14
0x0040a5a2,5,0040xxxx,clean,15
0x0040a5be,5,0040xxxx,clean,16
0x0040a5f4,5,0040xxxx,clean,17
0x0040a666,5,0040xxxx,clean,18
0x0040a66e,5,0040xxxx,clean,18
0x0040a6b6,5,0040xxxx,clean,20
0x0040a782,5,0040xxxx,clean,21
0x0040a790,5,0040xxxx,clean,21
0x0040aac8,5,0040xxxx,clean,23
0x0040af06,5,0040xxxx,clean,25
0x0040af08,5,0040xxxx,clean,27
0x0040aff8,5,0040xxxx,clean,30
0x0040b04a,5,0040xxxx,clean,31
0x0040b086,5,0040xxxx,clean,32
0x0040b08a,5,0040xxxx,clean,32
0x0040b5a0,5,0040xxxx,clean,33
0x0040b32e,5,0040xxxx,clean,34
0x0040b330,5,0040xxxx,clean,34
0x0040b1f8,5,0040xxxx,clean,37
0x0040b22c,5,0040xxxx,clean,39
0x0040b2ce,5,0040xxxx,clean,40
0x0040b2d2,5,0040xxxx,clean,41
0x0040b530,5,0040xxxx,clean,46
0x0040b540,5,0040xxxx,clean,48
0x0040b583,5,0040xxxx,clean,51
0x0040b58a,5,0040xxxx,clean,51
0x0040b626,5,0040xxxx,clean,54
0x0040b63c,5,0040xxxx,clean,55
0x0040ba48,5,0040xxxx,clean,55
0x0040ba52,5,0040xxxx,clean,55
0x0040ba60,5,0040xxxx,clean,55
0x0040b68a,5,0040xxxx,clean,57
0x0040b844,5,0040xxxx,clean,58
0x0040b852,5,0040xxxx,clean,58
0x0040b8d8,5,0040xxxx,clean,61
0x0040b8de,5,0040xxxx,clean,61
0x0040b900,5,0040xxxx,clean,61
0x0040b904,5,0040xxxx,clean,61
0x0040b938,5,0040xxxx,clean,63
0x0040b942,5,0040xxxx,clean,63
0x0040b948,5,0040xxxx,clean,63
0x0040b960,5,0040xxxx,clean,64
0x0040b986,5,0040xxxx,clean,64
0x0040b97e,5,0040xxxx,clean,65
0x0040b9bc,5,0040xxxx,clean,69
0x0040b9c4,5,0040xxxx,clean,70
0x0040ba14,5,0040xxxx,clean,72
0x0040bb88,5,0040xxxx,clean,74
0x003fa0ba,5,003fxxxx,in_window,0
0x003fa0bc,5,003fxxxx,in_window,0
