parameter,internal_name,address,size,unit,scale,description
ASG_Derivative_Gain_2_As,ASAP02DV,0x01117032,2,MM3S*SEC/RPM,0.00000132685,[ASAP02DV] ASG application specific derivative gain 2
ASG_Derivative_Gain_2_Selected,ASSL02DV,0x01107C3A,2,MM3S*SEC/RPM,0.00000132685,[ASSL02DV] ASG selected derivative gain 2
ASG_Derivative_Limit,ASDVLM,0x01107D04,2,MM3S,0.06793478400,[ASDVLM] ASG derivative limit
ASG_Derivative_Term,ASDV,0x01107C00,2,MM3S,0.06793478400,[ASDV] ASG derivative term
ASG_Droop_Axis,ASDPTBYA,0x01116F00,2,RPM/MM3S,0.00150000000,[ASDPTBYA] ASG droop table output axis (f(reference speed)
ASG_Droop_Compensated_Error,ASDPER,0x01107C18,2,RPM,0.125,[ASDPER] ASG Droop Compensated Error
ASG_Droop_Flag,ASDPFG,0x01158D00,2,UNITLESS,0.0078125,[ASDPFG] ASG droop selection flag; used to select droop source
ASG_Droop_Flag_Trim,ASDPFGTN,0x01138708,2,UNITLESS,0.0078125,[ASDPFGTN] Trim for ASG droop selection flag; select droop source
ASG_Droop_Gain1,ASDP01GN,0x0100081A,2,RPM,0.125,[ASDP01GN] Offset used to adjust droop in the gain adjust calculation of the ASG
ASG_Droop_Gain1_2,ASDP21GN,0x01000828,2,RPM,0.125,[ASDP21GN] Alternate offset used to adjust droop in gain adjust calc. for ASG
ASG_Droop_Gain1_3,ASDP31GN,0x01000836,2,RPM,0.125,[ASDP31GN] Alternate offset used to adjust droop in gain adjust calc. for ASG
ASG_Droop_Gain2,ASDP02GN,0x0100081C,4,RPM,0.125,[ASDP02GN] Slope multiplier used to adjust droop in the gain adjust calculation of the ASG
ASG_Droop_Gain2_2,ASDP22GN,0x0100082A,4,RPM,0.125,[ASDP22GN] Alternate slope multiplier used to adjust droop in gain adjust calc.
ASG_Droop_Gain2_3,ASDP32GN,0x01000838,4,RPM,0.125,[ASDP32GN] Alternate slope multiplier used to adjust droop in gain adjust calc.
ASG_Droop_Gain_1,ASDPGN01,0x01107A04,2,UNITLESS,0.000976563,[ASDPGN01] ASG droop gain 1
ASG_Droop_Gain_1_As,ASAP01DP,0x01117010,2,UNITLESS,0.000976563,[ASAP01DP] ASG application specific droop gain 1
ASG_Droop_Gain_2,ASDPGN02,0x01107A06,2,UNITLESS,0.000976563,[ASDPGN02] ASG droop gain 2
ASG_Droop_Gain_2_As,ASAP02DP,0x01117012,2,UNITLESS,0.000976563,[ASAP02DP] ASG application specific droop gain 2
ASG_Droop_Maximum_Throttle,ASDPMX,0x01000818,2,%,0.00390625,[ASDPMX] Tool ASG Droop Maximum Throttle Percent adjustable parameter
ASG_Droop_Maximum_Throttle_2,ASDPMX02,0x01000826,2,%,0.00390625,[ASDPMX02] Tool ASG Droop Max Throttle % for Switched Droop 2 adjustable parameter
ASG_Droop_Maximum_Throttle_3,ASDPMX03,0x01000834,2,%,0.00390625,[ASDPMX03] Tool ASG Droop Max Throttle % for Switched Droop 3 adjustable parameter
ASG_Droop_Minimum_Throttle,ASDPMN,0x01000816,2,%,0.00390625,[ASDPMN] Tool ASG Droop Minimum Throttle Percent adjustable parameter
