SystemType,EFCode,Language,HelpFile
1625,6,"KO","FIS4960467.chm"
1625,6,"PT","FIS3653269.chm"
1625,6,"RU","FIS4960574.chm"
1625,6,"TR","FIS4915923.chm"
1625,6,"ZH","FIS3667186.chm"
1635,8,"EN","FIS4021570.chm"
1635,8,"ES","FIS4018262.chm"
1635,8,"FR","FIS4960394.chm"
1635,8,"RU","FIS4960573.chm"
1635,8,"ZH","FIS4960367.chm"
1640,120,"DE","FIS4960987.chm"
1640,120,"EN","FIS4021677.chm"
1640,120,"ES","FIS4960747.chm"
1640,120,"FR","FIS4960729.chm"
1640,120,"IT","FIS4960988.chm"
1640,120,"KO","FIS4961012.chm"
1640,120,"NL","FIS4960990.chm"
1640,120,"PT","FIS3653374.chm"
1640,120,"RU","FIS4960723.chm"
1640,120,"TR","FIS4960735.chm"
1640,120,"ZH","FIS4960564.chm"
1645,8,"EN","FIS4021570.chm"
1645,8,"ES","FIS4018262.chm"
1645,8,"FR","FIS4960394.chm"
1645,8,"RU","FIS4960573.chm"
1645,8,"ZH","FIS4960367.chm"
1646,52,"DE","FIS4322395.chm"
1646,52,"EN","FIS4021658.chm"
1646,52,"PT","FIS3653539.chm"
1650,82,"EN","FIS3666266.chm"
1650,82,"ES","FIS3150948.chm"
1650,82,"FR","FIS4312416.chm"
1650,82,"JA","FIS4960384.chm"
1650,82,"KO","FIS4960465.chm"
1650,82,"TR","FIS4960304.chm"
1650,82,"ZH","FIS3666591.chm"
1655,13,"DE","FIS4960412.chm"
1655,13,"EN","FIS4021493.chm"
1655,13,"ES","FIS4018219.chm"
1655,13,"FR","FIS4961028.chm"
1655,13,"IT","FIS4960561.chm"
1655,13,"JA","FIS4960390.chm"
1655,13,"KO","FIS4960467.chm"
1655,13,"PT","FIS3653274.chm"
1655,13,"RU","FIS4960311.chm"
1655,13,"TR","FIS4915923.chm"
1655,13,"ZH","FIS4960448.chm"
1665,13,"DE","FIS4960412.chm"
1665,13,"EN","FIS4021493.chm"
1665,13,"ES","FIS4018219.chm"
1665,13,"FR","FIS4961028.chm"
1665,13,"JA","FIS4960390.chm"
1665,13,"PT","FIS3653274.chm"
1665,13,"RU","FIS4960311.chm"
1665,13,"ZH","FIS4960448.chm"
1666,13,"DE","FIS4960412.chm"
1666,13,"EN","FIS4021493.chm"
1666,13,"ES","FIS4018219.chm"
